"Civilité";"NOM";"Prénom";"Date de Naissance";"Adresse";"Téléphone";"E-mail";"Pays";"Pays";"Pays";"Pays";"Pays";"Pays";"Pays";"Pays";"Pays";"Pays"
"M.";"CICCANA";"Julien";"1989-10-28";"173 rue de Levallois-Perret, Nantes";"0451807272";"julien.ciccana@ifroutard.com";"AFR";"ANG";"AZE";"BEN";"BOT";"CAM";"CHY";"CRO";"EGY";"FAL"
"Mme";"AINESCU";"Taissia";"1986-11-07";"88 rue de Saint-Priest, Ivry-sur-Seine";"0984895600";"taissia.ainescu@ifroutard.com";"ALB";"ARG";"BAH";"BER";"BRE";"CAN";"COL";"CUB";"EQU";"FIN"
"M.";"JINIL";"Rémy";"1972-04-28";"194 rue de Le Tampon, Poitiers";"0545268951";"remy.jinil@ifroutard.com";"ALG";"ARM";"BAN";"BHO";"BUL";"CHL";"COR";"DAN";"ESP";"FRA"
"Mme";"HIRNOY";"Jennifer";"1992-07-18";"146 rue de Cannnes, Cagnes-sur-Mer";"0482985392";"jennifer.hirnoy@ifroutard.com";"ALL";"AUS";"BAR";"BIE";"BUR";"CHI";"COS";"DJI";"EST";"GRE"
"M.";"LANG";"Charly";"1991-09-28";"96 rue de Roanne, Salon-de-Provence";"0624255752";"charly.lang@ifroutard.com";"AND";"AUT";"BEL";"BOL";"CAI";"TAI";"COT";"DOM";"USA";"GUA"
"Mme";"CHERLIT";"Linda";"1982-07-04";"191 rue de Brive-la-Gaillarde, Clamart";"0325839608";"linda.cherlit@ifroutard.com";"ANG";"AZE";"BEN";"BOT";"CAM";"CHY";"CRO";"EGY";"FAL";"HON"
"M.";"BOJIKOWSKA";"Gaël";"1986-08-11";"105 rue de Chartes, Villejuif";"0605581435";"gael.bojikowska@ifroutard.com";"ARG";"BAH";"BER";"BRE";"CAN";"COL";"CUB";"EQU";"FIN";"IND"
"Mme";"PERAS XAVIER";"Florine";"1987-09-12";"107 rue de Le Port, Antony";"0121764699";"florine.peras-xavier@ifroutard.com";"ARM";"BAN";"BHO";"BUL";"CHL";"COR";"DAN";"ESP";"FRA";"IRL"
"M.";"SCHWINDONHEMMER";"Khalid";"1989-02-03";"12 rue de Asnieres-sur-Seine, Aubervilliers";"0109739374";"khalid.schwindonhemmer@ifroutard.com";"AUS";"BAR";"BIE";"BUR";"CHI";"COS";"DJI";"EST";"GRE";"ISL"
"Mme";"MENIRD";"Mounia";"1988-11-12";"187 rue de St Quentin, Perpignan";"0891749107";"mounia.menird@ifroutard.com";"AUT";"BEL";"BOL";"CAI";"TAI";"COT";"DOM";"USA";"GUA";"ISR"
"M.";"BONDRISS";"Ion";"1990-07-11";"25 rue de Laval, Bobigny";"0422972575";"ion.bondriss@ifroutard.com";"AZE";"BEN";"BOT";"CAM";"CHY";"CRO";"EGY";"FAL";"HON";"ITA"
"Mme";"PONA VARGAS";"Cyrille";"1980-02-19";"13 rue de Dijon, Amiens";"0969412139";"cyrille.ponavargas@ifroutard.com";"BAH";"BER";"BRE";"CAN";"COL";"CUB";"EQU";"FIN";"IND";"JAM"
"M.";"ADJINEU";"Olivier";"1975-10-24";"85 rue de Perpignan, Saint-Herblain";"0910066444";"olivier.adjineu@ifroutard.com";"BAN";"BHO";"BUL";"CHL";"COR";"DAN";"ESP";"FRA";"IRL";"JAP"
"Mme";"COACIRLAN";"Mélanie";"1991-05-08";"86 rue de Savigny-sur-Orge, Le Cannet";"0583456058";"melanie.coacirlan@ifroutard.com";"BAR";"BIE";"BUR";"CHI";"COS";"DJI";"EST";"GRE";"ISL";"JOR"
"M.";"CERIO";"Stéphane";"1990-06-04";"175 rue de Poissy, Besançon";"0309143029";"stephane.cerio@ifroutard.com";"BEL";"BOL";"CAI";"TAI";"COT";"DOM";"USA";"GUA";"ISR";"LET"
"Mme";"MIOLEN";"Alisson";"1970-12-24";"66 rue de Bondy, Chalons-en-Champagne";"0156869407";"alisson.miolen@ifroutard.com";"BEN";"BOT";"CAM";"CHY";"CRO";"EGY";"FAL";"HON";"ITA";"LIB"
"M.";"MIRICHAL";"Otto";"1970-12-25";"107 rue de Cholet, Saint-Herblain";"0788741886";"otto.mirichal@ifroutard.com";"BER";"BRE";"CAN";"COL";"CUB";"EQU";"FIN";"IND";"JAM";"LIE"
"Mme";"ILBU";"Catalin";"1997-09-01";"184 rue de Rennes, Le Blanc-Mesnil";"0934179837";"catalin.ilbu@ifroutard.com";"BHO";"BUL";"CHL";"COR";"DAN";"ESP";"FRA";"IRL";"JAP";"LIT"
"M.";"FRUGEER";"Nicolas";"1993-05-10";"143 rue de Clichy, Cagnes-sur-Mer";"0933753505";"nicolas.frugeer@ifroutard.com";"BIE";"BUR";"CHI";"COS";"DJI";"EST";"GRE";"ISL";"JOR";"LUX"
"Mme";"DANIDEO GALVIS";"Pauline";"1987-09-05";"160 rue de Clamart, Sartouville";"0960792975";"pauline.danideo-galvis@ifroutard.com";"BOL";"CAI";"TAI";"COT";"DOM";"USA";"GUA";"ISR";"LET";"MAC"
"M.";"ZHENG";"Kevin";"1970-03-10";"5 rue de Grenoble, Toulon";"0302129493";"kevin.zheng@ifroutard.com";"BOT";"CAM";"CHY";"CRO";"EGY";"FAL";"HON";"ITA";"LIB";"MAD"
"Mme";"GRIOSEMER";"Charlotte";"1986-11-29";"33 rue de Martigues, Sartouville";"0882064248";"charlotte.griosemer@ifroutard.com";"BRE";"CAN";"COL";"CUB";"EQU";"FIN";"IND";"JAM";"LIE";"MAL"
"M.";"JAYIUX";"Flavien";"1995-09-12";"17 rue de Evreux, Villeurbanne";"0359373788";"flavien.jayiux@ifroutard.com";"BUL";"CHL";"COR";"DAN";"ESP";"FRA";"IRL";"JAP";"LIT";"MAR"
"Mme";"RON";"Sara";"1983-08-27";"86 rue de Hyrès, Montauban";"0917154760";"sara.ron@ifroutard.com";"BUR";"CHI";"COS";"DJI";"EST";"GRE";"ISL";"JOR";"LUX";"MAU"
"M.";"AL IBEBI";"Mathieu";"1990-02-09";"124 rue de Arès, Le Port (La Réunion)";"0508614966";"mathieu.al-ibebi@ifroutard.com";"CAI";"TAI";"COT";"DOM";"USA";"GUA";"ISR";"LET";"MAC";"MEX"
"Mme";"LO VAGEUROUX";"Rym";"1975-06-28";"133 rue de St Denis, Bayonne";"0971945704";"rym.lo-vageuroux@ifroutard.com";"CAM";"CHY";"CRO";"EGY";"FAL";"HON";"ITA";"LIB";"MAD";"MOL"
"M.";"MARZAQ";"Julien";"1991-04-13";"132 rue de Martigues, Douai";"0622359195";"julien.marzaq@ifroutard.com";"CAN";"COL";"CUB";"EQU";"FIN";"IND";"JAM";"LIE";"MAL";"MON"
"Mme";"HIDZHIV";"Lamiaa";"1994-02-16";"152 rue de Boulogne-Billancourt, Cayenne (Guyane)";"0269601192";"lamiaa.hidzhiv@ifroutard.com";"CHL";"COR";"DAN";"ESP";"FRA";"IRL";"JAP";"LIT";"MAR";"NAU"
"M.";"JAANG";"Maxime";"1978-08-03";"49 rue de Choisy-le-Roi, Charleville-Mézières";"0763309910";"maxime.jaang@ifroutard.com";"CHI";"COS";"DJI";"EST";"GRE";"ISL";"JOR";"LUX";"MAU";"NEP"
"Mme";"LA";"Julie";"1973-12-19";"177 rue de Issy-Les-Moulineaux, Vénissieux";"0258097890";"julie.la@ifroutard.com";"TAI";"COT";"DOM";"USA";"GUA";"ISR";"LET";"MAC";"MEX";"NOR"
"M.";"DUFEU";"Benoît";"1986-08-20";"34 rue de Nevers, Perpignan";"0528995762";"benoit.dufeu@ifroutard.com";"CHY";"CRO";"EGY";"FAL";"HON";"ITA";"LIB";"MAD";"MOL";"NZE"
"Mme";"BEURGEN";"Célia";"1973-01-04";"166 rue de Choisy-le-Roi, Montpellier";"0766454446";"celia.beurgen@ifroutard.com";"COL";"CUB";"EQU";"FIN";"IND";"JAM";"LIE";"MAL";"MON";"PAP"
"M.";"DUBIST";"Michaël";"1994-03-08";"53 rue de Vannes, Salon-de-Provence";"0699619557";"michael.dubist@ifroutard.com";"COR";"DAN";"ESP";"FRA";"IRL";"JAP";"LIT";"MAR";"NAU";"HOL"
"Mme";"BLINDEIU";"Elodie";"1988-03-24";"113 rue de Marcq-en-Baroeuf, Cannnes";"0208500776";"elodie.blindeiu@ifroutard.com";"COS";"DJI";"EST";"GRE";"ISL";"JOR";"LUX";"MAU";"NEP";"PER"
"M.";"SVEROVSKY";"Nicolas";"1985-01-22";"86 rue de Anglet, Amiens";"0832282692";"nicolas.sverovsky@ifroutard.com";"COT";"DOM";"USA";"GUA";"ISR";"LET";"MAC";"MEX";"NOR";"POL"
"Mme";"TOUSCH";"Nathalie";"1989-08-26";"159 rue de Le Cannet, Marcq-en-Baroeuf";"0865502886";"nathalie.tousch@ifroutard.com";"CRO";"EGY";"FAL";"HON";"ITA";"LIB";"MAD";"MOL";"NZE";"POR"
"M.";"UNLU";"Jérôme";"1985-01-25";"105 rue de Poissy, Paris";"0766124491";"jerome.unlu@ifroutard.com";"CUB";"EQU";"FIN";"IND";"JAM";"LIE";"MAL";"MON";"PAP";"QAT"
"Mme";"CHABIH";"Caroline";"1989-09-11";"178 rue de Cergy, Maisons-Alfort";"0120414289";"caroline.chabih@ifroutard.com";"DAN";"ESP";"FRA";"IRL";"JAP";"LIT";"MAR";"NAU";"HOL";"ROU"
